IDN4,obec,populace,centroid-lat,centroid-lon
503126,Černík,1048,48.1632462,18.2315539
503134,Dedinka,677,48.0667918,18.4121123
503151,Dolný Ohaj,1505,48.075358,18.2650377
503169,Dubník - Csúz,1576,47.9445131,18.3102783
503177,Dvory nad Žitavou - Udvard,4999,47.9832205,18.2724631
503185,Gbelce - Köbölkút,2123,47.8435538,18.5107022
503193,Hul,1212,48.1013139,18.280513
503207,Chľaba - Helemba,705,47.8334635,18.8118206
503215,Jasová,1151,47.9852828,18.4060765
503223,Jatov,713,48.1375795,18.0036716
503231,Kamenica nad Hronom - Garamkövesd,1269,47.835957,18.7315723
503240,Kamenín - Kéménd,1479,47.886901,18.6388555
503258,Kamenný Most - Kőhídgyarmat,1060,47.8470004,18.6393981
503266,Kmeťovo,827,48.1682662,18.2763056
503274,Kolta,1257,48.0186488,18.4160939
503282,Komjatice,4223,48.1450744,18.1588879
503291,Komoča - Kamocsa,955,47.9619667,18.0418629
503312,Leľa - Leléd,308,47.8571382,18.7747117
503321,Lipová (NZ),1524,48.1178698,18.1722491
503339,Ľubá - Libád,404,47.856937,18.5962424
503347,Malá nad Hronom - Kicsind,398,47.8573022,18.6833399
503355,Malé Kosihy - Ipolykiskeszi,379,47.9263622,18.7424435
503363,Maňa,2004,48.1522975,18.2943546
503371,Michal nad Žitavou,672,48.1881997,18.2676845
503380,Veľký Kýr - Nyitranagykér,2980,48.1768847,18.1440673
503398,Mojzesovo,1346,48.1368855,18.2346593
503401,Mužla - Muzsla,1912,47.7930146,18.5694838
503436,Nová Vieska - Kisújfalu,656,47.8680308,18.4562842
503452,Palárikovo,4272,48.0363648,18.0596026
503461,Bodíky - Nagybodak,274,47.9117548,17.4606531
503479,Podhájska,1077,48.1028461,18.3409909
503487,Pozba - Pozba,456,48.1123549,18.3829688
503495,Radava,757,48.0933778,18.3132135
503509,Rastislavice,951,48.1402551,18.075082
503517,Rúbaň - Fűr,926,47.9300435,18.3955878
503525,Salka - Ipolyszalka,974,47.8902719,18.733892
503533,Semerovo,1332,48.0074346,18.3464518
503541,Sikenička - Kisgyarmat,436,47.9297292,18.6949904
503550,Strekov - Kürt,1926,47.8991815,18.4074962
503568,Svodín - Szőgyén,2412,47.906161,18.506185
503576,Šarkan - Sárkányfalva,371,47.8597018,18.5616497
