IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
513300,Lazy pod Makytou,3,SK,94.7%,0.0%,0.0%,0.0%,513300.0,Pellegrini,0.0,0.33,0.0,16.81,29.62,1.0,3.0,0.5,0.0,48.25,0.5
513318,Lednica,3,SK,98.5%,0.0%,0.0%,0.0%,513318.0,Pellegrini,0.0,0.25,0.0,15.08,21.86,1.51,0.5,1.51,0.25,59.05,0.0
513326,Lednické Rovne,3,SK,96.4%,0.0%,0.2%,0.0%,513326.0,Pellegrini,0.11,0.44,0.11,13.29,34.0,0.5,2.44,1.72,0.17,47.07,0.17
513334,Lúky,3,SK,97.2%,0.0%,0.0%,0.0%,513334.0,Pellegrini,0.22,0.22,0.0,13.1,28.6,1.75,2.4,1.75,0.66,51.31,0.0
513342,Lysá pod Makytou,3,SK,96.9%,0.1%,0.0%,0.0%,513342.0,Pellegrini,0.31,0.52,0.0,10.1,33.33,1.04,1.77,0.94,0.0,51.88,0.1
513351,Košecké Podhradie,3,SK,96.2%,0.1%,0.0%,0.0%,513351.0,Pellegrini,0.0,0.37,0.0,18.91,21.54,0.56,1.12,1.87,0.19,55.24,0.19
513377,Mestečko,3,SK,97.7%,0.4%,0.0%,0.0%,513377.0,Pellegrini,0.4,0.0,0.0,11.69,32.66,0.81,1.61,5.65,0.0,47.18,0.0
513385,Mikušovce (IL),3,SK,95.6%,0.1%,0.1%,0.0%,513385.0,Pellegrini,0.2,0.4,0.0,18.4,22.0,0.6,1.6,1.2,0.2,55.2,0.2
513407,Mojtín,3,SK,98.4%,0.0%,0.0%,0.0%,513407.0,Pellegrini,0.98,0.0,0.0,15.69,32.84,1.47,0.98,2.45,0.0,45.59,0.0
513440,Nová Dubnica,3,SK,92.8%,0.2%,0.0%,0.0%,513440.0,Pellegrini,0.1,0.57,0.12,13.71,40.24,0.35,2.46,1.5,0.1,40.69,0.16
513466,Papradno,3,SK,96.3%,0.1%,0.1%,0.0%,513466.0,Pellegrini,0.17,0.51,0.08,22.52,20.58,1.69,1.27,0.76,0.25,51.91,0.25
513474,Plevník-Drienové,3,SK,96.9%,0.1%,0.0%,0.0%,513474.0,Pellegrini,0.13,0.52,0.0,12.45,28.53,0.39,2.46,0.91,0.26,54.09,0.26
513563,Prečín,3,SK,95.4%,0.2%,0.0%,0.0%,513563.0,Pellegrini,0.14,0.72,0.0,20.55,31.75,1.58,1.58,1.29,0.43,41.81,0.14
513598,Pruské,3,SK,94.3%,0.0%,0.0%,0.0%,513598.0,Pellegrini,0.0,1.31,0.19,12.11,36.81,1.22,2.54,1.5,0.09,44.23,0.0
513601,Pružina,3,SK,97.2%,0.1%,0.0%,0.0%,513601.0,Pellegrini,0.11,1.76,0.11,14.0,29.44,0.88,2.87,1.98,0.0,48.73,0.11
513610,Púchov,3,SK,93.1%,0.1%,0.1%,0.0%,513610.0,Pellegrini,0.12,0.9,0.02,14.77,37.41,0.66,2.47,1.84,0.15,41.55,0.1
513687,Stupné,3,SK,96.5%,0.0%,0.1%,0.0%,513687.0,Pellegrini,0.0,1.49,0.0,13.99,32.74,0.89,0.89,4.46,0.0,44.94,0.6
513725,Tuchyňa,3,SK,98.6%,0.0%,0.0%,0.0%,513725.0,Pellegrini,0.0,2.5,0.23,16.36,30.91,0.45,2.27,1.82,0.23,45.23,0.0
513741,Udiča,3,SK,94.1%,0.1%,0.0%,0.0%,513741.0,Pellegrini,0.19,0.95,0.0,16.38,27.84,1.04,1.99,1.14,0.19,49.72,0.57
513776,Visolaje,3,SK,96.2%,0.0%,0.0%,0.0%,513776.0,Pellegrini,0.2,0.4,0.2,14.26,28.71,0.2,2.61,0.6,0.0,52.61,0.2
513784,Vrchteplá,3,SK,94.0%,0.0%,0.0%,0.0%,513784.0,Pellegrini,0.72,0.0,0.0,24.46,19.42,0.72,1.44,1.44,0.0,51.8,0.0
513792,Malá Tŕňa,8,SK,90.2%,5.0%,0.8%,0.0%,513792.0,Korčok,0.0,0.0,6.72,15.13,37.82,0.0,0.84,2.52,0.0,36.97,0.0
513806,Veľká Tŕňa,8,SK,93.9%,1.1%,0.0%,0.0%,513806.0,Pellegrini,0.0,0.0,0.94,10.38,33.49,0.47,3.3,2.36,0.0,49.06,0.0
