obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,Víťazný kandidát
508748,2.13,0.0,71.28,0.53,22.34,2.13,0.53,0.0,0.53,0.0,0.53,Forró
508756,1.82,0.0,82.73,0.0,11.82,0.91,1.82,0.0,0.0,0.0,0.91,Forró
508764,1.32,0.0,81.46,0.0,15.23,0.66,0.0,0.0,0.0,0.66,0.66,Forró
508772,0.84,0.84,65.55,0.0,26.05,6.72,0.0,0.0,0.0,0.0,0.0,Forró
508781,2.86,0.0,77.14,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
508799,0.0,0.0,89.66,0.0,10.34,0.0,0.0,0.0,0.0,0.0,0.0,Forró
508802,0.0,6.25,75.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,Forró
508811,0.7,0.0,76.06,0.0,21.13,2.11,0.0,0.0,0.0,0.0,0.0,Forró
508829,1.12,0.56,73.03,0.56,21.91,1.69,0.0,0.0,1.12,0.0,0.0,Forró
508837,0.0,0.0,70.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,Forró
508845,1.32,0.0,69.74,0.0,25.0,0.0,0.0,1.32,1.32,0.0,1.32,Forró
508853,1.57,0.0,73.67,0.31,21.32,1.57,0.31,0.31,0.63,0.31,0.0,Forró
508861,0.85,0.0,80.34,0.0,12.82,5.98,0.0,0.0,0.0,0.0,0.0,Forró
