IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Korčok,Pellegrini
508764,Medzibrod,6,SK,97.4%,0.1%,0.0%,0.0%,508764.0,Pellegrini,0.0,100.0
508772,Michalová,6,SK,95.5%,0.1%,0.0%,0.0%,508772.0,Pellegrini,0.0,100.0
508781,Môlča,6,SK,91.7%,0.0%,3.9%,0.0%,508781.0,Korčok,50.0,50.0
508799,Moštenica,6,SK,94.8%,1.3%,0.0%,0.0%,508799.0,Korčok,0.0,0.0
508802,Motyčky,6,SK,97.1%,0.0%,0.0%,0.0%,508802.0,Korčok,100.0,0.0
508811,Mýto pod Ďumbierom,6,SK,93.9%,1.0%,0.0%,0.8%,508811.0,Pellegrini,0.0,100.0
508829,Nemecká,6,SK,94.2%,0.1%,0.6%,0.0%,508829.0,Pellegrini,0.0,100.0
508837,Oravce,6,SK,97.2%,0.0%,0.0%,0.0%,508837.0,Korčok,0.0,0.0
508845,Osrblie,6,SK,97.5%,0.6%,0.0%,0.6%,508845.0,Korčok,100.0,0.0
508853,Podbrezová,6,SK,90.6%,0.3%,0.5%,0.0%,508853.0,Pellegrini,33.33,66.67
508861,Podkonice,6,SK,97.4%,0.0%,0.0%,0.1%,508861.0,Pellegrini,0.0,100.0
508870,Pohorelá,6,SK,96.7%,0.0%,0.1%,0.0%,508870.0,Pellegrini,0.0,100.0
508888,Pohronská Polhora,6,SK,92.2%,0.0%,0.7%,0.1%,508888.0,Korčok,0.0,0.0
508896,Pohronský Bukovec,6,SK,96.6%,0.0%,0.0%,0.0%,508896.0,Korčok,0.0,0.0
508900,Polomka,6,SK,92.7%,0.2%,2.6%,0.1%,508900.0,Korčok,0.0,0.0
508918,Poniky,6,SK,98.0%,0.1%,0.1%,0.1%,508918.0,Pellegrini,0.0,100.0
508926,Povrazník,6,SK,90.9%,0.0%,0.0%,0.0%,508926.0,Korčok,0.0,0.0
508934,Predajná,6,SK,93.2%,0.1%,0.1%,0.0%,508934.0,Pellegrini,0.0,100.0
508942,Priechod,6,SK,99.3%,0.0%,0.0%,0.0%,508942.0,Pellegrini,0.0,100.0
508951,Ráztoka,6,SK,97.5%,0.0%,0.0%,0.0%,508951.0,Korčok,0.0,0.0
508969,Riečka (BB),6,SK,98.7%,0.0%,0.0%,0.0%,508969.0,Pellegrini,0.0,100.0
508977,Sebedín-Bečov,6,SK,97.5%,0.0%,0.0%,0.0%,508977.0,Korčok,0.0,0.0
508985,Selce (BB),6,SK,98.1%,0.2%,0.0%,0.0%,508985.0,Pellegrini,0.0,100.0
508993,Sihla,6,SK,100.0%,0.0%,0.0%,0.0%,508993.0,Korčok,100.0,0.0
509001,Slovenská Ľupča,6,SK,95.1%,0.2%,0.6%,0.0%,509001.0,Pellegrini,0.0,100.0
509019,Staré Hory,6,SK,94.6%,0.4%,0.2%,0.0%,509019.0,Pellegrini,0.0,100.0
509027,Strelníky,6,SK,98.8%,0.3%,0.0%,0.0%,509027.0,Korčok,0.0,0.0
509035,Špania Dolina,6,SK,91.0%,0.4%,0.0%,0.0%,509035.0,Korčok,0.0,0.0
509043,Šumiac,6,SK,91.2%,0.2%,1.8%,0.4%,509043.0,Pellegrini,33.33,66.67
509051,Telgárt,6,SK,79.7%,0.0%,10.6%,0.1%,509051.0,Pellegrini,0.0,100.0
509060,Tajov,6,SK,96.3%,0.1%,0.0%,0.0%,509060.0,Pellegrini,0.0,100.0
509086,Valaská,6,SK,88.3%,0.1%,1.2%,0.0%,509086.0,Korčok,50.0,50.0
509094,Vaľkovňa,6,SK,93.5%,0.0%,0.7%,0.0%,509094.0,Korčok,0.0,0.0
509124,Závadka nad Hronom,6,SK,90.1%,0.2%,1.3%,0.0%,509124.0,Pellegrini,0.0,100.0
509132,Čadca,5,SK,91.6%,0.1%,0.0%,0.0%,509132.0,Pellegrini,13.04,86.96
509159,Čierne,5,SK,97.6%,0.0%,0.0%,0.0%,509159.0,Pellegrini,42.86,57.14
509167,Dlhá nad Kysucou,5,SK,93.1%,0.2%,0.0%,0.0%,509167.0,Pellegrini,33.33,66.67
509175,Dolný Vadičov,5,SK,98.1%,0.0%,0.0%,0.2%,509175.0,Pellegrini,0.0,100.0
509183,Dunajov,5,SK,96.7%,0.1%,0.0%,0.1%,509183.0,Korčok,66.67,33.33
509205,Horný Vadičov,5,SK,96.8%,0.1%,0.1%,0.0%,509205.0,Pellegrini,12.5,87.5
509213,Klokočov (CA),5,SK,95.0%,0.0%,0.0%,0.0%,509213.0,Korčok,50.0,50.0
509221,Klubina,5,SK,97.4%,0.0%,0.0%,0.0%,509221.0,Korčok,0.0,0.0
509230,Korňa,5,SK,97.0%,0.0%,0.0%,0.0%,509230.0,Pellegrini,0.0,100.0
509248,Krásno nad Kysucou,5,SK,97.3%,0.1%,0.0%,0.0%,509248.0,Pellegrini,20.0,80.0
509256,Kysucké Nové Mesto,5,SK,93.9%,0.1%,0.0%,0.0%,509256.0,Pellegrini,6.35,93.65
509264,Kysucký Lieskovec,5,SK,94.4%,0.0%,0.0%,0.0%,509264.0,Korčok,50.0,50.0
509272,Lodno,5,SK,97.5%,0.0%,0.0%,0.1%,509272.0,Pellegrini,0.0,100.0
509281,Lopušné Pažite,5,SK,98.0%,0.7%,0.0%,0.0%,509281.0,Pellegrini,0.0,100.0
509299,Makov,5,SK,96.7%,0.1%,0.0%,0.0%,509299.0,Pellegrini,33.33,66.67
509302,Nesluša,5,SK,92.1%,0.0%,0.1%,0.0%,509302.0,Pellegrini,23.08,76.92
509311,Nová Bystrica,5,SK,97.2%,0.0%,0.0%,0.0%,509311.0,Korčok,57.14,42.86
509329,Ochodnica,5,SK,97.0%,0.1%,0.0%,0.0%,509329.0,Pellegrini,0.0,100.0
509337,Olešná,5,SK,96.3%,0.0%,0.1%,0.0%,509337.0,Pellegrini,25.0,75.0
509345,Oščadnica,5,SK,96.2%,0.0%,0.0%,0.0%,509345.0,Pellegrini,0.0,100.0
509361,Podvysoká,5,SK,97.1%,0.0%,0.1%,0.0%,509361.0,Korčok,50.0,50.0
509370,Povina,5,SK,96.6%,0.0%,0.0%,0.0%,509370.0,Korčok,66.67,33.33
509396,Radôstka,5,SK,98.6%,0.0%,0.0%,0.0%,509396.0,Pellegrini,20.0,80.0
509400,Raková,5,SK,98.4%,0.0%,0.0%,0.0%,509400.0,Pellegrini,6.25,93.75
509426,Rudina,5,SK,96.4%,0.0%,0.0%,0.0%,509426.0,Korčok,50.0,50.0
509434,Rudinka,5,SK,96.5%,0.0%,0.0%,0.0%,509434.0,Pellegrini,0.0,100.0
509442,Rudinská,5,SK,95.7%,0.0%,0.0%,0.0%,509442.0,Pellegrini,25.0,75.0
509451,Skalité,5,SK,98.5%,0.1%,0.0%,0.0%,509451.0,Pellegrini,5.88,94.12
509469,Snežnica,5,SK,97.3%,0.0%,0.0%,0.0%,509469.0,Korčok,0.0,0.0
509477,Stará Bystrica,5,SK,97.9%,0.0%,0.0%,0.0%,509477.0,Pellegrini,0.0,100.0
509485,Staškov,5,SK,95.9%,0.0%,0.0%,0.0%,509485.0,Pellegrini,33.33,66.67
509493,Svrčinovec,5,SK,98.0%,0.0%,0.1%,0.0%,509493.0,Pellegrini,25.0,75.0
509507,Turzovka,5,SK,92.5%,0.1%,0.7%,0.0%,509507.0,Pellegrini,11.76,88.24
509515,Vysoká nad Kysucou,5,SK,95.3%,0.1%,0.3%,0.0%,509515.0,Pellegrini,42.86,57.14
509523,Zákopčie,5,SK,96.7%,0.1%,0.0%,0.0%,509523.0,Pellegrini,33.33,66.67
509531,Zborov nad Bystricou,5,SK,98.8%,0.0%,0.0%,0.0%,509531.0,Pellegrini,28.57,71.43
509540,Dolný Kubín,5,SK,94.6%,0.1%,0.2%,0.0%,509540.0,Pellegrini,3.0,97.0
509558,Babín,5,SK,98.9%,0.1%,0.0%,0.0%,509558.0,Pellegrini,0.0,100.0
509566,Beňadovo,5,SK,99.5%,0.1%,0.0%,0.0%,509566.0,Pellegrini,0.0,100.0
509582,Bobrov,5,SK,96.8%,0.0%,0.0%,0.0%,509582.0,Pellegrini,6.25,93.75
509591,Breza,5,SK,98.0%,0.1%,0.0%,0.0%,509591.0,Pellegrini,33.33,66.67
509604,Brezovica (TS),5,SK,99.3%,0.1%,0.0%,0.0%,509604.0,Pellegrini,6.25,93.75
509639,Dlhá nad Oravou,5,SK,98.5%,0.1%,0.0%,0.0%,509639.0,Pellegrini,0.0,100.0
509655,Habovka,5,SK,98.8%,0.0%,0.0%,0.0%,509655.0,Pellegrini,30.77,69.23
509663,Hladovka,5,SK,98.6%,0.0%,0.0%,0.0%,509663.0,Pellegrini,0.0,100.0
509671,Horná Lehota (DK),5,SK,98.6%,0.2%,0.0%,0.0%,509671.0,Pellegrini,0.0,100.0
509680,Hruštín,5,SK,99.2%,0.1%,0.0%,0.0%,509680.0,Pellegrini,18.52,81.48
509698,Chlebnice,5,SK,99.8%,0.0%,0.0%,0.0%,509698.0,Pellegrini,12.5,87.5
509701,Istebné,5,SK,95.0%,0.2%,0.1%,0.0%,509701.0,Pellegrini,12.5,87.5
509710,Jasenová,5,SK,98.6%,0.0%,0.0%,0.0%,509710.0,Korčok,0.0,0.0
509728,Klin,5,SK,98.6%,0.0%,0.0%,0.0%,509728.0,Pellegrini,6.25,93.75
509744,Kraľovany,5,SK,98.8%,0.0%,0.0%,0.0%,509744.0,Pellegrini,0.0,100.0
509761,Krivá,5,SK,99.0%,0.0%,0.0%,0.0%,509761.0,Pellegrini,4.35,95.65
509779,Krušetnica,5,SK,99.9%,0.0%,0.0%,0.0%,509779.0,Pellegrini,20.0,80.0
509787,Leštiny,5,SK,97.3%,0.0%,0.0%,0.0%,509787.0,Pellegrini,0.0,100.0
509795,Liesek,5,SK,99.0%,0.0%,0.0%,0.0%,509795.0,Pellegrini,10.0,90.0
509809,Lokca,5,SK,97.9%,0.0%,0.0%,0.0%,509809.0,Pellegrini,16.67,83.33
509817,Lomná,5,SK,98.1%,0.0%,0.0%,0.0%,509817.0,Pellegrini,20.0,80.0
509825,Malatiná,5,SK,96.6%,0.0%,0.0%,0.0%,509825.0,Pellegrini,0.0,100.0
509833,Medzibrodie nad Oravou,5,SK,98.8%,0.2%,0.0%,0.0%,509833.0,Pellegrini,25.0,75.0
509850,Mútne,5,SK,99.0%,0.0%,0.0%,0.0%,509850.0,Pellegrini,10.0,90.0
509868,Námestovo,5,SK,94.0%,0.0%,0.0%,0.0%,509868.0,Pellegrini,0.0,100.0
509876,Nižná (TS),5,SK,94.1%,0.1%,0.0%,0.0%,509876.0,Pellegrini,2.0,98.0
509884,Novoť,5,SK,98.9%,0.0%,0.0%,0.0%,509884.0,Pellegrini,3.23,96.77
509892,Oravská Jasenica,5,SK,98.9%,0.1%,0.0%,0.1%,509892.0,Pellegrini,0.0,100.0
509906,Oravská Lesná,5,SK,98.6%,0.1%,0.0%,0.0%,509906.0,Pellegrini,3.45,96.55
509914,Oravská Polhora,5,SK,98.5%,0.0%,0.0%,0.0%,509914.0,Pellegrini,5.88,94.12
509922,Oravská Poruba,5,SK,98.3%,0.0%,0.0%,0.0%,509922.0,Pellegrini,0.0,100.0
509931,Oravské Veselé,5,SK,99.3%,0.1%,0.0%,0.0%,509931.0,Pellegrini,3.03,96.97
509949,Oravský Biely Potok,5,SK,97.8%,0.0%,0.0%,0.0%,509949.0,Pellegrini,0.0,100.0
509957,Oravský Podzámok,5,SK,97.5%,0.0%,0.1%,0.0%,509957.0,Pellegrini,0.0,100.0
509965,Osádka,5,SK,95.9%,0.0%,0.0%,0.0%,509965.0,Korčok,0.0,0.0
509973,Párnica,5,SK,99.0%,0.0%,0.0%,0.0%,509973.0,Korčok,0.0,0.0
509981,Podbiel,5,SK,96.6%,0.0%,0.0%,0.0%,509981.0,Pellegrini,16.67,83.33
509990,Pokryváč,5,SK,96.0%,0.0%,0.0%,0.0%,509990.0,Korčok,0.0,0.0
510009,Pribiš,5,SK,98.7%,0.2%,0.0%,0.0%,510009.0,Pellegrini,0.0,100.0
510017,Pucov,5,SK,98.6%,0.1%,0.0%,0.0%,510017.0,Pellegrini,28.57,71.43
510025,Rabča,5,SK,97.7%,0.0%,0.0%,0.0%,510025.0,Pellegrini,15.38,84.62
510033,Rabčice,5,SK,97.8%,0.0%,0.0%,0.0%,510033.0,Pellegrini,0.0,100.0
510041,Sedliacka Dubová,5,SK,96.7%,0.0%,0.0%,0.0%,510041.0,Pellegrini,0.0,100.0
510050,Sihelné,5,SK,96.7%,0.0%,0.0%,0.0%,510050.0,Pellegrini,0.0,100.0
510076,Suchá Hora,5,SK,95.8%,0.0%,0.1%,0.0%,510076.0,Pellegrini,8.33,91.67
510084,Štefanov nad Oravou,5,SK,98.9%,0.0%,0.0%,0.0%,510084.0,Pellegrini,0.0,100.0
510092,Ťapešovo,5,SK,98.8%,0.1%,0.0%,0.0%,510092.0,Pellegrini,37.5,62.5
510106,Trstená,5,SK,96.1%,0.1%,0.0%,0.0%,510106.0,Pellegrini,15.38,84.62
510114,Tvrdošín,5,SK,96.0%,0.0%,0.0%,0.0%,510114.0,Pellegrini,6.82,93.18
510149,Vasiľov,5,SK,98.3%,0.1%,0.0%,0.0%,510149.0,Pellegrini,0.0,100.0
510157,Vavrečka,5,SK,97.7%,0.1%,0.0%,0.0%,510157.0,Pellegrini,11.11,88.89
510165,Veličná,5,SK,97.4%,0.0%,0.0%,0.0%,510165.0,Pellegrini,0.0,100.0
510173,Vitanová,5,SK,99.1%,0.0%,0.0%,0.0%,510173.0,Pellegrini,33.33,66.67
510181,Vyšný Kubín,5,SK,96.2%,0.0%,0.0%,0.1%,510181.0,Pellegrini,0.0,100.0
510190,Zábiedovo,5,SK,99.1%,0.0%,0.0%,0.0%,510190.0,Pellegrini,12.5,87.5
510203,Zákamenné,5,SK,98.6%,0.0%,0.0%,0.0%,510203.0,Pellegrini,2.13,97.87
510211,Zázrivá,5,SK,96.0%,0.0%,0.0%,0.0%,510211.0,Pellegrini,14.29,85.71
510238,Zuberec,5,SK,97.3%,0.1%,0.0%,0.0%,510238.0,Pellegrini,0.0,100.0
510246,Zubrohlava,5,SK,98.2%,0.0%,0.0%,0.0%,510246.0,Pellegrini,0.0,100.0
510254,Žaškov,5,SK,98.6%,0.0%,0.0%,0.0%,510254.0,Pellegrini,0.0,100.0
510262,Liptovský Mikuláš,5,SK,90.6%,0.3%,0.5%,0.1%,510262.0,Pellegrini,7.06,92.94
510271,Beňadiková,5,SK,97.4%,0.0%,0.0%,0.2%,510271.0,Korčok,0.0,0.0
510301,Bešeňová,5,SK,91.8%,0.5%,0.0%,0.0%,510301.0,Pellegrini,0.0,100.0
510319,Bobrovček,5,SK,97.6%,0.0%,0.0%,0.0%,510319.0,Korčok,0.0,0.0
510327,Bobrovec,5,SK,97.2%,0.1%,0.1%,0.1%,510327.0,Pellegrini,7.14,92.86
510335,Bobrovník,5,SK,95.5%,0.0%,0.0%,0.0%,510335.0,Korčok,0.0,0.0
510351,Bukovina,5,SK,96.4%,0.0%,0.0%,0.0%,510351.0,Pellegrini,0.0,100.0
510386,Demänovská Dolina,5,SK,89.9%,0.0%,0.0%,0.0%,510386.0,Pellegrini,25.0,75.0
510408,Dúbrava (LM),5,SK,97.5%,0.2%,0.0%,0.0%,510408.0,Pellegrini,33.33,66.67
510416,Galovany,5,SK,99.4%,0.0%,0.0%,0.0%,510416.0,Korčok,0.0,0.0
510424,Gôtovany,5,SK,95.3%,0.2%,0.2%,0.0%,510424.0,Pellegrini,0.0,100.0
510441,Hubová,5,SK,98.1%,0.2%,0.0%,0.0%,510441.0,Pellegrini,0.0,100.0
510459,Huty,5,SK,96.1%,0.0%,0.0%,0.0%,510459.0,Korčok,0.0,0.0
510467,Hybe,5,SK,95.3%,0.1%,0.6%,0.0%,510467.0,Pellegrini,33.33,66.67
510505,Jakubovany (LM),5,SK,96.2%,0.0%,0.0%,0.0%,510505.0,Korčok,50.0,50.0
510513,Jalovec (LM),5,SK,97.4%,0.0%,0.0%,0.0%,510513.0,Pellegrini,0.0,100.0
510521,Jamník (LM),5,SK,93.7%,0.0%,1.0%,0.0%,510521.0,Pellegrini,0.0,100.0
510530,Kalameny,5,SK,98.0%,0.4%,0.0%,0.0%,510530.0,Pellegrini,0.0,100.0
510548,Komjatná,5,SK,98.9%,0.1%,0.0%,0.0%,510548.0,Pellegrini,0.0,100.0
510564,Kráľova Lehota,5,SK,93.6%,0.0%,3.5%,0.0%,510564.0,Korčok,100.0,0.0
510572,Kvačany (LM),5,SK,98.7%,0.2%,0.0%,0.0%,510572.0,Pellegrini,0.0,100.0
510581,Lazisko,5,SK,98.4%,0.0%,0.0%,0.0%,510581.0,Pellegrini,0.0,100.0
510599,Likavka,5,SK,95.7%,0.0%,0.0%,0.0%,510599.0,Pellegrini,12.9,87.1
510602,Liptovská Anna,5,SK,95.8%,0.0%,0.0%,0.0%,510602.0,Korčok,0.0,0.0
510611,Liptovská Kokava,5,SK,97.5%,0.2%,0.0%,0.1%,510611.0,Korčok,100.0,0.0
510629,Liptovská Lúžna,5,SK,97.6%,0.0%,0.0%,0.0%,510629.0,Pellegrini,33.33,66.67
510637,Liptovská Osada,5,SK,94.9%,0.0%,0.0%,0.0%,510637.0,Pellegrini,0.0,100.0
510653,Liptovská Sielnica,5,SK,96.9%,0.0%,0.0%,0.2%,510653.0,Pellegrini,20.0,80.0
510661,Liptovská Štiavnica,5,SK,97.8%,0.1%,0.2%,0.1%,510661.0,Korčok,50.0,50.0
510670,Liptovská Teplá,5,SK,97.8%,0.1%,0.0%,0.0%,510670.0,Pellegrini,0.0,100.0
510688,Liptovské Beharovce,5,SK,96.3%,0.0%,0.0%,0.0%,510688.0,Korčok,0.0,0.0
510696,Liptovské Kľačany,5,SK,97.1%,0.0%,0.0%,0.0%,510696.0,Korčok,0.0,0.0
510700,Liptovské Matiašovce,5,SK,99.0%,0.0%,0.0%,0.0%,510700.0,Korčok,0.0,0.0
510718,Liptovské Revúce,5,SK,98.5%,0.3%,0.1%,0.0%,510718.0,Pellegrini,10.0,90.0
510726,Liptovský Hrádok,5,SK,93.3%,0.1%,0.2%,0.0%,510726.0,Pellegrini,23.81,76.19
510734,Liptovský Ján,5,SK,95.5%,0.1%,0.0%,0.0%,510734.0,Pellegrini,0.0,100.0
510742,Liptovský Michal,5,SK,96.3%,0.0%,0.0%,0.3%,510742.0,Korčok,0.0,0.0
510751,Liptovský Ondrej,5,SK,98.9%,0.2%,0.0%,0.0%,510751.0,Korčok,0.0,0.0
510777,Liptovský Trnovec,5,SK,92.8%,0.0%,0.0%,0.0%,510777.0,Korčok,0.0,0.0
510785,Lisková,5,SK,98.2%,0.0%,0.0%,0.0%,510785.0,Pellegrini,21.43,78.57
510793,Ľubeľa,5,SK,97.5%,0.2%,0.1%,0.0%,510793.0,Korčok,50.0,50.0
510807,Ľubochňa,5,SK,97.8%,0.3%,0.0%,0.0%,510807.0,Pellegrini,12.5,87.5
510815,Lúčky (RK),5,SK,97.8%,0.1%,0.0%,0.0%,510815.0,Pellegrini,10.0,90.0
510823,Ludrová,5,SK,99.3%,0.0%,0.0%,0.0%,510823.0,Pellegrini,37.5,62.5
510831,Malatíny,5,SK,91.8%,0.0%,0.0%,0.0%,510831.0,Korčok,0.0,0.0
510840,Malé Borové,5,SK,98.4%,0.0%,0.0%,0.0%,510840.0,Korčok,0.0,0.0
510858,Malužiná,5,SK,95.5%,0.0%,0.0%,0.0%,510858.0,Pellegrini,0.0,100.0
510866,Martinček,5,SK,97.1%,0.0%,0.0%,0.0%,510866.0,Pellegrini,25.0,75.0
510874,Nižná Boca,5,SK,98.2%,0.0%,0.0%,0.0%,510874.0,Korčok,0.0,0.0
510904,Partizánska Ľupča,5,SK,96.6%,0.0%,0.0%,0.1%,510904.0,Korčok,100.0,0.0
510912,Pavčina Lehota,5,SK,94.4%,0.0%,0.0%,0.0%,510912.0,Korčok,100.0,0.0
510921,Pavlova Ves,5,SK,94.0%,0.4%,0.0%,0.0%,510921.0,Pellegrini,0.0,100.0
510947,Podtureň,5,SK,95.9%,0.1%,0.0%,0.0%,510947.0,Pellegrini,33.33,66.67
510955,Potok (RK),5,SK,94.9%,0.0%,0.0%,0.0%,510955.0,Pellegrini,0.0,100.0
510963,Pribylina,5,SK,94.4%,0.2%,0.3%,0.3%,510963.0,Pellegrini,0.0,100.0
510971,Prosiek,5,SK,95.6%,0.0%,0.0%,0.0%,510971.0,Korčok,0.0,0.0
510998,Ružomberok,5,SK,92.2%,0.2%,0.3%,0.0%,510998.0,Pellegrini,3.64,96.36
511005,Liptovské Sliače,5,SK,98.7%,0.0%,0.1%,0.1%,511005.0,Pellegrini,10.0,90.0
511013,Smrečany,5,SK,96.7%,0.0%,0.1%,0.0%,511013.0,Pellegrini,16.67,83.33
511030,Stankovany,5,SK,97.0%,0.0%,0.0%,0.0%,511030.0,Pellegrini,0.0,100.0
511048,Svätý Kríž,5,SK,96.3%,0.1%,0.0%,0.0%,511048.0,Pellegrini,0.0,100.0
511056,Štiavnička,5,SK,97.5%,0.5%,0.0%,0.0%,511056.0,Pellegrini,0.0,100.0
511064,Švošov,5,SK,98.8%,0.0%,0.0%,0.0%,511064.0,Pellegrini,15.79,84.21
511072,Trstené,5,SK,98.2%,0.0%,0.0%,0.0%,511072.0,Pellegrini,0.0,100.0
511099,Uhorská Ves,5,SK,96.1%,0.0%,0.9%,0.0%,511099.0,Pellegrini,0.0,100.0
511102,Valaská Dubová,5,SK,97.4%,0.0%,0.0%,0.0%,511102.0,Pellegrini,4.17,95.83
511111,Vavrišovo,5,SK,96.7%,0.0%,0.9%,0.1%,511111.0,Pellegrini,0.0,100.0
511129,Važec,5,SK,89.7%,0.0%,0.8%,0.0%,511129.0,Korčok,66.67,33.33
511137,Veľké Borové,5,SK,97.5%,0.0%,0.0%,0.0%,511137.0,Korčok,0.0,0.0
511145,Veterná Poruba,5,SK,98.4%,0.0%,0.0%,0.3%,511145.0,Korčok,0.0,0.0
511153,Vlachy,5,SK,95.8%,0.2%,0.0%,0.0%,511153.0,Pellegrini,0.0,100.0
511170,Východná,5,SK,96.8%,0.2%,1.3%,0.0%,511170.0,Pellegrini,12.5,87.5
511188,Vyšná Boca,5,SK,97.2%,0.0%,0.0%,0.0%,511188.0,Pellegrini,0.0,100.0
511196,Závažná Poruba,5,SK,96.2%,0.1%,0.0%,0.1%,511196.0,Pellegrini,0.0,100.0
511200,Žiar (LM),5,SK,97.3%,0.2%,0.0%,0.0%,511200.0,Pellegrini,0.0,100.0
511218,Lučenec,6,SK,79.7%,8.4%,0.2%,0.0%,511218.0,Pellegrini,8.33,91.67
511226,Ábelová,6,SK,88.1%,0.9%,1.4%,0.5%,511226.0,Korčok,0.0,0.0
511234,Belina - Béna,6,HU,12.8%,83.0%,0.2%,0.0%,511234.0,Korčok,0.0,0.0
511251,Boľkovce,6,SK,81.3%,16.0%,0.5%,0.0%,511251.0,Pellegrini,0.0,100.0
511269,Breznička (PT),6,SK,97.5%,0.8%,0.0%,0.0%,511269.0,Korčok,50.0,50.0
511277,Budiná,6,SK,97.1%,0.0%,0.0%,0.0%,511277.0,Korčok,0.0,0.0
511293,Buzitka,6,SK,86.4%,9.6%,0.0%,0.0%,511293.0,Korčok,0.0,0.0
511315,Cinobaňa,6,SK,92.9%,0.5%,0.3%,0.0%,511315.0,Pellegrini,12.5,87.5
511323,Čakanovce (LC) - Csákányháza,6,HU,13.1%,73.4%,11.9%,0.0%,511323.0,Korčok,100.0,0.0
511331,Čamovce - Csomatelke,6,HU,19.6%,65.2%,10.0%,0.0%,511331.0,Pellegrini,25.0,75.0
511340,České Brezovo,6,SK,98.0%,0.2%,0.0%,0.0%,511340.0,Korčok,50.0,50.0
511358,Divín,6,SK,98.7%,0.1%,0.0%,0.0%,511358.0,Pellegrini,0.0,100.0
511366,Dobroč,6,SK,96.8%,0.5%,0.0%,0.0%,511366.0,Pellegrini,0.0,100.0
511374,Kotmanová,6,SK,97.5%,0.4%,0.0%,0.0%,511374.0,Korčok,0.0,0.0
511391,Fiľakovo - Fülek,6,HU,29.8%,62.9%,1.4%,0.0%,511391.0,Pellegrini,33.33,66.67
511404,Fiľakovské Kováče - Fülekkovácsi,6,SK,50.1%,48.1%,0.1%,0.0%,511404.0,Korčok,50.0,50.0
511421,Halič,6,SK,95.2%,0.7%,0.3%,0.1%,511421.0,Pellegrini,20.0,80.0
511439,Holiša - Ipolygalsa,6,SK,56.6%,40.9%,0.6%,0.0%,511439.0,Korčok,0.0,0.0
511447,Hradište (PT),6,SK,95.0%,0.0%,1.3%,0.0%,511447.0,Korčok,0.0,0.0
511463,Jelšovec,6,SK,72.2%,7.9%,0.0%,0.0%,511463.0,Korčok,100.0,0.0
511471,Kalinovo,6,SK,95.8%,0.9%,0.1%,0.0%,511471.0,Pellegrini,25.0,75.0
511480,Kalonda - Kalonda,6,HU,44.4%,53.0%,0.0%,0.0%,511480.0,Korčok,0.0,0.0
511498,Kokava nad Rimavicou,6,SK,95.3%,0.2%,2.4%,0.0%,511498.0,Korčok,50.0,50.0
511501,Krná,6,SK,85.2%,3.7%,0.0%,0.0%,511501.0,Korčok,100.0,0.0
511510,Látky,6,SK,98.0%,0.2%,0.0%,0.0%,511510.0,Korčok,0.0,0.0
511528,Lehôtka,6,SK,94.9%,1.1%,0.0%,0.0%,511528.0,Korčok,0.0,0.0
511536,Lentvora,6,SK,97.6%,0.0%,0.0%,0.0%,511536.0,Korčok,0.0,0.0
511544,Lipovany,6,SK,95.5%,0.8%,0.0%,0.0%,511544.0,Korčok,0.0,0.0
511552,Lovinobaňa,6,SK,95.0%,0.3%,1.0%,0.0%,511552.0,Pellegrini,0.0,100.0
511561,Ľuboreč,6,SK,92.0%,1.4%,2.6%,0.0%,511561.0,Korčok,100.0,0.0
511579,Lupoč,6,SK,95.6%,0.5%,0.0%,0.5%,511579.0,Korčok,0.0,0.0
511595,Málinec,6,SK,96.2%,0.1%,0.8%,0.0%,511595.0,Korčok,0.0,0.0
511609,Mašková,6,SK,99.1%,0.0%,0.3%,0.0%,511609.0,Korčok,0.0,0.0
511617,Mládzovo,6,SK,99.0%,0.0%,0.0%,0.0%,511617.0,Korčok,0.0,0.0
511625,Mučín,6,SK,59.6%,11.4%,24.2%,0.0%,511625.0,Korčok,0.0,0.0
511641,Mýtna,6,SK,96.1%,0.1%,0.1%,0.0%,511641.0,Korčok,100.0,0.0
511668,Nitra nad Ipľom - Ipolynyitra,6,SK,40.7%,21.0%,36.2%,0.0%,511668.0,Korčok,0.0,0.0
511676,Nové Hony,6,SK,84.9%,12.3%,0.0%,0.0%,511676.0,Pellegrini,0.0,100.0
511684,Ozdín,6,SK,98.3%,0.7%,0.0%,0.0%,511684.0,Korčok,0.0,0.0
511692,Panické Dravce - Panyidaróc,6,SK,67.3%,27.2%,0.3%,0.0%,511692.0,Korčok,100.0,0.0
511706,Píla (LC),6,SK,98.0%,0.4%,0.0%,0.0%,511706.0,Korčok,100.0,0.0
511714,Pinciná - Pinc,6,SK,61.5%,35.6%,0.0%,0.0%,511714.0,Pellegrini,0.0,100.0
511722,Pleš - Fülekpilis,6,SK,68.1%,27.7%,0.0%,0.0%,511722.0,Korčok,0.0,0.0
511731,Podkriváň,6,SK,97.5%,0.7%,0.0%,0.0%,511731.0,Pellegrini,27.27,72.73
511749,Podrečany,6,SK,93.5%,1.7%,0.0%,0.0%,511749.0,Korčok,0.0,0.0
511757,Polichno,6,SK,58.6%,0.0%,0.8%,0.0%,511757.0,Korčok,0.0,0.0
511765,Poltár,6,SK,92.1%,0.4%,0.2%,0.1%,511765.0,Pellegrini,27.27,72.73
