IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
501093,Číčov - Csicsó,1231,47.7832232,17.7581597,501093,1,0,211,15,23,1,1,6,0,50,0,308,1027,29.99
501107,Dedina Mládeže - Ifjúságfalva,438,47.9528371,17.989867,501107,0,0,24,12,17,0,1,4,0,61,0,119,345,34.49
501115,Svätý Peter - Komáromszentpéter,2735,47.8347701,18.2318868,501115,1,0,381,65,161,6,2,26,1,210,0,853,2232,38.22
501123,Dulovce,1648,47.873165,18.2675265,501123,0,0,5,58,157,2,2,11,0,248,0,483,1291,37.41
501140,Hurbanovo - Ógyalla,7467,47.8673848,18.189955,501140,2,6,414,228,813,5,31,78,6,771,3,2357,5896,39.98
501158,Chotín - Hetény,1375,47.8104386,18.2279099,501158,1,0,248,31,60,1,0,10,0,58,0,409,1166,35.08
501166,Imeľ - Ímely,1982,47.8960651,18.1332512,501166,1,4,134,65,238,0,8,23,0,161,2,636,1706,37.28
501174,Iža - Izsa,1781,47.7642938,18.2296398,501174,0,0,179,40,111,0,2,14,1,130,2,479,1416,33.83
501182,Kameničná - Keszegfalva,1934,47.8425925,18.0068291,501182,2,0,182,29,76,3,1,6,0,143,0,442,1551,28.5
501191,Klížska Nemá - Kolozsnéma,449,47.7560045,17.833828,501191,0,1,77,8,9,1,0,3,1,22,0,122,357,34.17
501204,Kolárovo - Gúta,10572,47.968649,18.0145144,501204,3,4,1114,181,486,7,9,59,5,604,3,2475,8572,28.87
501212,Kravany nad Dunajom - Karva,718,47.7737494,18.4825165,501212,0,1,109,18,32,0,3,9,2,56,0,230,589,39.05
501221,Lipové,142,47.8457766,17.871058,501221,1,0,3,5,49,0,1,1,0,19,0,79,128,61.72
501239,Marcelová - Marcelháza,3802,47.7916157,18.2889398,501239,0,4,548,33,85,3,1,33,0,146,0,853,3097,27.54
501247,Martovce - Martos,694,47.8640466,18.1094253,501247,1,1,135,9,12,0,0,5,1,47,0,211,590,35.76
501255,Moča - Dunamocs,1132,47.7729754,18.4084843,501255,0,2,192,15,29,1,2,8,0,47,0,296,949,31.19
501263,Modrany - Madar,1315,47.8170837,18.3551084,501263,0,1,159,6,11,1,0,1,0,29,0,208,1061,19.6
501271,Mudroňovo,124,47.8299536,18.3220448,501271,0,0,0,8,4,1,2,0,0,25,0,40,91,43.96
501280,Nesvady - Naszvad,5014,47.9271767,18.1048316,501280,1,5,329,95,442,5,10,48,0,330,1,1266,3978,31.83
501301,Okoličná na Ostrove - Ekel,1440,47.8157165,17.9235321,501301,0,1,173,28,27,0,2,7,1,79,0,318,1190,26.72
501310,Patince - Pat,527,47.7439357,18.2920231,501310,0,2,63,49,49,1,2,2,0,46,1,215,487,44.15
501328,Pribeta - Perbete,2745,47.9005598,18.3140815,501328,0,1,363,44,121,2,3,29,1,178,1,743,2265,32.8
501336,Radvaň nad Dunajom - Dunaradvány,711,47.7599096,18.3557923,501336,0,0,140,12,36,0,1,2,0,44,0,235,595,39.5
501344,Sokolce - Lakszakállas,1203,47.8772367,17.8624852,501344,0,1,190,16,40,4,1,1,0,49,1,303,1000,30.3
501352,Šrobárová,505,47.8052235,18.3220504,501352,0,0,1,36,70,1,6,6,0,110,1,231,416,55.53
501361,Tôň - Tany,737,47.8030855,17.8276298,501361,0,0,146,17,17,0,0,9,0,46,0,235,633,37.12
501379,Trávnik - Komáromfüss,683,47.7675602,17.7942617,501379,0,0,79,21,11,1,1,1,0,31,0,145,565,25.66
