IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate
504203,Senica,2,SK,93.5%,0.1%,0.1%,0.0%
504211,Bílkove Humence,2,SK,99.0%,0.0%,0.0%,0.0%
504220,Borský Svätý Jur,2,SK,96.1%,0.2%,0.1%,0.0%
504238,Borský Mikuláš,2,SK,96.4%,0.2%,0.1%,0.1%
504254,Brestovec (MY),3,SK,97.7%,0.0%,0.0%,0.1%
504262,Brezová pod Bradlom,3,SK,93.5%,0.1%,0.1%,0.0%
504271,Brodské,2,SK,90.7%,0.1%,0.4%,0.0%
504289,Bukovec (MY),3,SK,97.0%,0.5%,0.0%,0.0%
504297,Cerová,2,SK,96.9%,0.1%,0.0%,0.0%
504319,Čáry,2,SK,95.9%,0.3%,0.7%,0.0%
504327,Častkov,2,SK,98.4%,0.0%,0.0%,0.0%
504335,Dojč,2,SK,97.6%,0.0%,0.1%,0.0%
504343,Dubovce,2,SK,95.9%,0.2%,0.0%,0.0%
504351,Gbely,2,SK,90.1%,0.2%,0.1%,0.0%
504360,Hlboké,2,SK,93.8%,0.0%,0.2%,0.0%
504378,Holíč,2,SK,89.6%,0.1%,0.3%,0.0%
504386,Hradište pod Vrátnom,2,SK,94.3%,0.7%,0.6%,0.0%
504394,Chropov,2,SK,95.8%,0.0%,1.6%,0.0%
504408,Chvojnica (MY),3,SK,95.1%,0.3%,0.0%,0.0%
504416,Jablonica,2,SK,97.8%,0.1%,0.0%,0.1%
504424,Jablonka,3,SK,96.4%,0.9%,0.0%,0.0%
504432,Kátov,2,SK,96.2%,0.3%,0.0%,0.0%
504459,Kopčany,2,SK,92.2%,0.1%,0.1%,0.0%
504467,Košariská,3,SK,97.3%,0.2%,0.0%,0.0%
504475,Koválov,2,SK,98.0%,0.0%,0.0%,0.0%
504483,Koválovec,2,SK,93.8%,0.0%,0.0%,0.0%
504491,Kuklov,2,SK,97.3%,0.3%,0.3%,0.1%
504513,Kúty,2,SK,95.1%,0.1%,0.1%,0.0%
504521,Lakšárska Nová Ves,2,SK,95.4%,0.1%,0.3%,0.0%
504530,Letničie,2,SK,96.4%,0.2%,0.0%,0.0%
504548,Lopašov,2,SK,98.8%,0.0%,0.0%,0.0%
504556,Malé Leváre,1,SK,88.4%,0.3%,0.8%,0.1%
504564,Mokrý Háj,2,SK,94.4%,0.3%,0.0%,0.0%
504572,Moravský Svätý Ján,2,SK,95.5%,0.1%,0.0%,0.0%
504581,Myjava,3,SK,91.9%,0.2%,0.2%,0.0%
504599,Oreské (SI),2,SK,97.7%,0.0%,0.0%,0.0%
504602,Osuské,2,SK,97.5%,0.0%,0.3%,0.0%
504611,Petrova Ves,2,SK,97.8%,0.5%,0.0%,0.0%
504629,Plavecké Podhradie,1,SK,96.8%,0.1%,0.0%,0.1%
504637,Plavecký Mikuláš,1,SK,98.0%,0.3%,0.0%,0.0%
504645,Plavecký Peter,2,SK,95.4%,0.0%,0.0%,0.0%
504653,Podbranč,2,SK,95.7%,0.0%,0.0%,0.0%
504661,Polianka,3,SK,92.7%,0.3%,0.0%,0.0%
504670,Popudinské Močidľany,2,SK,96.4%,0.1%,0.6%,0.0%
504688,Poriadie,3,SK,98.2%,0.1%,0.1%,0.0%
504696,Priepasné,3,SK,96.0%,0.0%,0.6%,0.8%
504700,Prietrž,2,SK,92.6%,0.1%,0.0%,0.4%
504718,Prietržka,2,SK,96.1%,0.0%,0.0%,0.0%
504726,Prievaly,2,SK,96.8%,0.1%,0.0%,0.0%
504734,Radimov,2,SK,98.7%,0.0%,0.0%,0.0%
504742,Radošovce (SI),2,SK,94.9%,0.2%,0.0%,0.0%
504769,Rohožník (MA),1,SK,90.6%,0.2%,0.1%,0.1%
504777,Rovensko,2,SK,97.9%,0.0%,0.0%,0.0%
504793,Rudník (MY),3,SK,98.3%,0.0%,0.0%,0.0%
504815,Skalica,2,SK,89.0%,0.1%,0.1%,0.0%
504823,Smolinské,2,SK,98.6%,0.2%,0.0%,0.0%
504831,Smrdáky,2,SK,98.8%,0.2%,0.0%,0.0%
504840,Sobotište,2,SK,97.6%,0.1%,0.1%,0.0%
504858,Sološnica,1,SK,96.0%,0.5%,0.1%,0.1%
504866,Stará Myjava,3,SK,96.7%,0.0%,0.0%,0.0%
504874,Studienka,1,SK,96.4%,0.2%,0.2%,0.0%
504882,Šajdíkove Humence,2,SK,94.8%,0.1%,0.3%,0.0%
504891,Šaštín-Stráže,2,SK,94.0%,0.1%,1.9%,0.0%
504904,Štefanov,2,SK,93.4%,0.1%,5.3%,0.0%
504912,Trnovec,2,SK,96.1%,0.0%,0.0%,0.0%
504939,Unín,2,SK,94.5%,0.0%,0.3%,0.0%
504947,Veľké Leváre,1,SK,92.0%,0.3%,0.4%,0.1%
504963,Vrádište,2,SK,95.4%,0.2%,0.0%,0.0%
504971,Vrbovce,3,SK,92.8%,0.1%,0.1%,0.0%
504980,Závod,1,SK,96.5%,0.3%,0.3%,0.0%
504998,Topoľčany,4,SK,91.3%,0.2%,0.1%,0.0%
505021,Lipovník (TO),4,SK,98.1%,0.3%,0.3%,0.0%
505048,Ludanice,4,SK,94.1%,0.3%,0.1%,0.0%
505056,Ľutov,3,SK,98.9%,0.0%,0.0%,0.0%
505064,Lužany,4,SK,99.1%,0.4%,0.0%,0.0%
505072,Malá Hradná,3,SK,99.0%,0.0%,0.0%,0.0%
505102,Malé Hoste,3,SK,97.6%,0.0%,0.0%,0.0%
505129,Malé Kršteňany,3,SK,95.1%,0.2%,0.0%,0.0%
505137,Malé Ripňany,4,SK,96.9%,0.2%,0.0%,0.0%
505153,Miezgovce,3,SK,99.3%,0.0%,0.0%,0.0%
505170,Nadlice,3,SK,98.1%,0.0%,0.0%,0.0%
505196,Nedanovce,3,SK,98.9%,0.2%,0.2%,0.0%
505200,Nedašovce,3,SK,97.5%,0.2%,0.0%,0.0%
505226,Nemečky,4,SK,99.0%,0.0%,0.0%,0.0%
505234,Nitrianska Blatnica,4,SK,96.3%,0.1%,0.1%,0.0%
505242,Nitrianska Streda,4,SK,96.9%,0.0%,0.1%,0.0%
505251,Norovce,4,SK,94.0%,0.0%,0.0%,0.0%
505277,Omastiná,3,SK,100.0%,0.0%,0.0%,0.0%
505285,Oponice,4,SK,93.2%,0.4%,0.0%,0.0%
505307,Ostratice,3,SK,97.9%,0.0%,0.0%,0.0%
505315,Partizánske,3,SK,90.4%,0.2%,0.2%,0.0%
505323,Pažiť,3,SK,97.0%,0.0%,0.2%,0.0%
505331,Pečeňany,3,SK,95.4%,0.0%,1.0%,0.2%
505340,Podhradie (TO),4,SK,97.2%,0.0%,0.0%,0.0%
505358,Podlužany (BN),3,SK,95.8%,0.0%,0.2%,0.0%
505374,Prašice,4,SK,96.9%,0.1%,0.0%,0.0%
505382,Pravotice,3,SK,98.8%,0.0%,0.0%,0.0%
505404,Preseľany,4,SK,96.0%,0.1%,0.0%,0.0%
505412,Prusy,3,SK,96.9%,0.3%,0.0%,0.0%
505421,Radošina,4,SK,93.6%,0.2%,0.1%,0.0%
505439,Rajčany,4,SK,96.3%,0.0%,0.0%,0.0%
505447,Ruskovce (BN),3,SK,98.7%,0.0%,0.0%,0.0%
505455,Rybany,3,SK,95.5%,0.1%,0.3%,0.0%
505463,Skačany,3,SK,97.2%,1.5%,0.1%,0.0%
505471,Slatina nad Bebravou,3,SK,97.1%,0.2%,0.0%,0.0%
505480,Slatinka nad Bebravou,3,SK,97.0%,0.0%,0.0%,0.0%
505498,Solčany,4,SK,97.1%,0.1%,0.0%,0.0%
505510,Súlovce,4,SK,98.0%,0.0%,0.0%,0.0%
505536,Šalgovce,4,SK,97.1%,0.4%,0.0%,0.0%
505544,Šípkov,3,SK,96.6%,0.0%,0.0%,0.0%
505552,Šišov,3,SK,97.6%,0.0%,0.0%,0.0%
505561,Tesáre,4,SK,97.4%,0.1%,0.0%,0.1%
505579,Timoradza,3,SK,98.8%,0.0%,0.0%,0.0%
505595,Trebichava,3,SK,92.7%,0.0%,0.0%,0.0%
505617,Tvrdomestice,4,SK,98.2%,0.0%,0.0%,0.0%
505625,Uhrovec,3,SK,97.1%,0.3%,0.0%,0.0%
505633,Uhrovské Podhradie,3,SK,92.3%,0.0%,0.0%,0.0%
505641,Urmince,4,SK,94.8%,0.0%,0.0%,0.0%
505676,Veľké Dvorany,4,SK,95.6%,0.0%,0.0%,0.0%
505684,Veľké Hoste,3,SK,98.2%,0.0%,0.0%,0.0%
505692,Veľké Chlievany,3,SK,97.6%,0.0%,0.2%,0.0%
505706,Veľké Kršteňany,3,SK,93.8%,0.0%,0.3%,0.0%
505714,Veľké Ripňany,4,SK,95.9%,0.1%,0.0%,0.3%
505722,Veľké Uherce,3,SK,97.5%,0.2%,0.0%,0.1%
505731,Veľký Klíž,3,SK,98.5%,0.2%,0.0%,0.0%
505749,Velušovce,4,SK,97.3%,0.0%,0.0%,0.0%
505757,Vozokany (TO),4,SK,97.4%,0.0%,0.0%,0.0%
505765,Vysočany,3,SK,99.1%,0.0%,0.0%,0.0%
505773,Závada (TO),4,SK,98.0%,0.0%,0.0%,0.0%
505790,Zlatníky,3,SK,96.2%,0.1%,0.0%,0.0%
505803,Žabokreky nad Nitrou,3,SK,98.2%,0.0%,0.0%,0.0%
505811,Žitná-Radiša,3,SK,96.0%,0.2%,0.2%,0.0%
505820,Trenčín,3,SK,92.4%,0.2%,0.0%,0.0%
505838,Adamovské Kochanovce,3,SK,98.5%,0.1%,0.0%,0.0%
505846,Beckov,3,SK,96.1%,0.0%,0.0%,0.0%
505854,Bobot,3,SK,97.9%,0.1%,0.0%,0.0%
505871,Bošáca,3,SK,95.9%,0.1%,0.0%,0.0%
505889,Brunovce,3,SK,94.8%,0.0%,0.0%,0.5%
505897,Bzince pod Javorinou,3,SK,93.5%,0.0%,0.0%,0.0%
505901,Čachtice,3,SK,93.6%,0.1%,0.2%,0.0%
505919,Častkovce,3,SK,97.1%,0.3%,0.2%,0.0%
505935,Dolná Poruba,3,SK,97.1%,0.0%,0.1%,0.0%
505943,Dolná Súča,3,SK,98.8%,0.0%,0.0%,0.1%
505951,Dolné Srnie,3,SK,94.9%,0.1%,0.0%,0.0%
505960,Drietoma,3,SK,95.3%,0.1%,0.0%,0.0%
505978,Dubodiel,3,SK,98.9%,0.0%,0.0%,0.0%
505994,Hôrka nad Váhom,3,SK,97.8%,0.1%,0.0%,0.0%
506001,Horná Streda,3,SK,97.0%,0.1%,0.1%,0.0%
506010,Horná Súča,3,SK,95.6%,0.2%,0.0%,0.0%
506028,Horňany,3,SK,96.3%,0.2%,0.0%,0.0%
506036,Horné Srnie,3,SK,94.5%,0.0%,0.0%,0.0%
506044,Hrabovka,3,SK,98.1%,0.2%,0.0%,0.0%
506052,Hrádok,3,SK,97.3%,0.1%,0.0%,0.0%
506061,Hrachovište,3,SK,95.9%,0.1%,0.4%,0.0%
506079,Hrašné,3,SK,97.5%,0.0%,0.0%,0.2%
506087,Chocholná-Velčice,3,SK,95.7%,0.1%,0.0%,0.0%
506095,Ivanovce,3,SK,96.7%,0.3%,0.0%,0.0%
506109,Kálnica,3,SK,98.3%,0.1%,0.0%,0.0%
506125,Kočovce,3,SK,97.2%,0.1%,0.0%,0.0%
506133,Kostolná-Záriečie,3,SK,98.4%,0.0%,0.0%,0.0%
506141,Kostolné,3,SK,96.0%,0.2%,0.0%,0.0%
506150,Krajné,3,SK,96.9%,0.0%,0.7%,0.0%
506168,Krivosúd-Bodovka,3,SK,98.3%,0.0%,0.0%,0.0%
506184,Lubina,3,SK,92.5%,0.1%,0.1%,0.0%
506206,Lúka,3,SK,96.9%,0.9%,0.0%,0.0%
506231,Mníchova Lehota,3,SK,98.4%,0.2%,0.0%,0.0%
506249,Modrová,3,SK,97.1%,0.4%,0.2%,0.0%
506257,Modrovka,3,SK,97.5%,0.0%,0.0%,0.0%
506265,Moravské Lieskové,3,SK,95.7%,0.2%,0.2%,0.0%
506273,Motešice,3,SK,98.2%,0.0%,0.0%,0.0%
506281,Nemšová,3,SK,94.5%,0.1%,0.0%,0.0%
506290,Neporadza (TN),3,SK,98.9%,0.1%,0.0%,0.0%
506303,Nová Bošáca,3,SK,97.2%,0.1%,0.0%,0.0%
506311,Nová Lehota,3,SK,95.2%,0.0%,0.0%,0.5%
506338,Nové Mesto nad Váhom,3,SK,91.9%,0.1%,0.2%,0.0%
506346,Očkov,3,SK,98.5%,0.0%,0.0%,0.0%
506354,Omšenie,3,SK,96.9%,0.1%,0.0%,0.0%
506371,Opatovce,3,SK,98.8%,0.0%,0.0%,0.0%
506401,Pobedim,3,SK,95.6%,0.0%,0.3%,0.0%
506419,Podkylava,3,SK,93.5%,0.0%,0.0%,0.0%
506427,Podolie,3,SK,93.8%,0.1%,0.9%,0.0%
506435,Potvorice,3,SK,97.9%,0.4%,0.0%,0.0%
506443,Považany,3,SK,97.2%,0.1%,0.0%,0.0%
506478,Selec,3,SK,98.3%,0.1%,0.0%,0.0%
506508,Soblahov,3,SK,97.6%,0.1%,0.1%,0.0%
506516,Stará Lehota,3,SK,94.3%,0.6%,0.6%,0.0%
506524,Stará Turá,3,SK,92.5%,0.1%,0.0%,0.0%
506532,Svinná,3,SK,97.0%,0.1%,0.0%,0.1%
506541,Štvrtok,3,SK,96.7%,0.0%,0.0%,0.0%
506559,Trenčianska Teplá,3,SK,97.2%,0.2%,0.2%,0.0%
506567,Trenčianska Turná,3,SK,97.7%,0.1%,0.0%,0.0%
506583,Trenčianske Bohuslavice,3,SK,95.7%,0.1%,0.0%,0.0%
506591,Trenčianske Jastrabie,3,SK,98.6%,0.0%,0.0%,0.0%
506605,Trenčianske Mitice,3,SK,98.9%,0.1%,0.4%,0.0%
506613,Trenčianske Teplice,3,SK,91.8%,0.2%,0.1%,0.1%
506630,Vaďovce,3,SK,95.1%,0.0%,0.3%,0.0%
506648,Veľká Hradná,3,SK,97.8%,0.0%,0.0%,0.0%
506656,Veľké Bierovce,3,SK,98.6%,0.0%,0.0%,0.1%
506672,Višňové (NM),3,SK,97.7%,0.0%,0.0%,0.0%
506745,Trnava,2,SK,90.5%,0.3%,0.2%,0.0%
506788,Bíňovce,2,SK,98.8%,0.0%,0.0%,0.0%
506796,Bohdanovce nad Trnavou,2,SK,98.2%,0.1%,0.1%,0.0%
506800,Bojničky,2,SK,98.0%,0.1%,0.0%,0.0%
506818,Boleráz,2,SK,96.6%,0.5%,0.1%,0.0%
506826,Borová,2,SK,97.2%,0.2%,0.0%,0.0%
506834,Borovce,2,SK,95.9%,0.1%,0.0%,0.0%
506842,Brestovany,2,SK,91.4%,0.2%,0.0%,0.1%
506851,Bučany,2,SK,97.6%,0.2%,0.0%,0.0%
506869,Buková,2,SK,96.3%,0.0%,0.0%,0.0%
506877,Cífer,2,SK,95.4%,0.3%,0.0%,0.0%
506885,Červeník,2,SK,95.7%,0.1%,0.0%,0.0%
506893,Dechtice,2,SK,98.2%,0.2%,0.0%,0.1%
506915,Dobrá Voda,2,SK,96.8%,0.1%,0.0%,0.0%
506923,Dolná Krupá,2,SK,93.4%,0.0%,0.3%,0.0%
506931,Dolné Dubové,2,SK,98.2%,0.0%,0.1%,0.0%
506940,Dolné Orešany,2,SK,97.4%,0.1%,0.2%,0.0%
506958,Dolné Otrokovce,2,SK,98.2%,0.8%,0.0%,0.0%
506966,Dolné Trhovište,2,SK,96.9%,0.2%,0.0%,0.2%
506982,Dolný Lopašov,2,SK,96.1%,0.0%,0.0%,0.0%
506991,Drahovce,2,SK,92.0%,0.2%,0.1%,0.0%
507008,Dubovany,2,SK,96.7%,0.4%,0.0%,0.0%
507024,Dvorníky,2,SK,95.4%,0.4%,0.0%,0.0%
507032,Hlohovec,2,SK,92.2%,0.1%,0.1%,0.0%
507041,Horná Krupá,2,SK,96.7%,0.0%,0.0%,0.0%
507059,Horné Dubové,2,SK,96.7%,0.5%,0.0%,0.0%
507067,Horné Orešany,2,SK,97.2%,0.1%,0.1%,0.1%
507075,Horné Otrokovce,2,SK,98.0%,0.3%,0.1%,0.0%
507121,Chtelnica,2,SK,96.8%,0.2%,0.0%,0.0%
507130,Jalšové,2,SK,97.7%,0.2%,0.0%,0.0%
507156,Jaslovské Bohunice,2,SK,97.0%,0.1%,0.3%,0.1%
507164,Kátlovce,2,SK,98.1%,0.0%,0.3%,0.0%
507172,Kľačany,2,SK,95.7%,0.0%,0.0%,0.0%
507199,Kočín-Lančár,2,SK,95.8%,0.0%,0.0%,0.0%
507202,Koplotovce,2,SK,96.8%,0.1%,0.1%,0.0%
507211,Košolná,2,SK,97.6%,0.2%,0.1%,0.0%
507229,Krakovany,2,SK,96.8%,0.0%,0.0%,0.0%
507253,Leopoldov,2,SK,95.5%,0.2%,0.1%,0.0%
507288,Madunice,2,SK,95.0%,0.2%,0.0%,0.0%
507296,Majcichov,2,SK,97.5%,0.5%,0.0%,0.0%
507300,Ivachnová,5,SK,97.4%,0.0%,0.0%,0.0%
507318,Malženice,2,SK,96.9%,0.1%,0.0%,0.0%
507326,Merašice,2,SK,96.0%,0.9%,0.2%,0.0%
507342,Moravany nad Váhom,2,SK,96.1%,0.1%,0.0%,0.0%
507351,Naháč,2,SK,97.2%,0.0%,0.0%,0.0%
507369,Nižná (PN),2,SK,97.2%,0.2%,0.0%,0.2%
507385,Ostrov (PN),2,SK,97.3%,0.2%,0.0%,0.0%
507393,Konská (LM),5,SK,96.9%,0.0%,0.0%,0.0%
507407,Turík,5,SK,98.2%,0.0%,0.0%,0.0%
507415,Pastuchov,2,SK,96.8%,0.2%,0.0%,0.0%
507431,Pečeňady,2,SK,97.0%,0.0%,0.0%,0.0%
507440,Piešťany,2,SK,90.1%,0.3%,0.0%,0.0%
507466,Prašník,2,SK,95.6%,0.4%,0.7%,0.0%
507482,Rakovice,2,SK,95.3%,0.0%,0.0%,0.0%
507491,Ratnovce,2,SK,92.3%,0.3%,0.1%,0.0%
507512,Ružindol,2,SK,94.8%,0.2%,0.0%,0.0%
507521,Sasinkovo,2,SK,95.2%,0.1%,0.0%,0.0%
507539,Siladice,2,SK,96.7%,0.0%,0.1%,0.0%
507555,Smolenice,2,SK,94.9%,0.2%,0.0%,0.0%
507563,Sokolovce,2,SK,95.2%,0.2%,0.0%,0.0%
507571,Suchá nad Parnou,2,SK,94.7%,0.1%,0.0%,0.0%
507601,Špačince,2,SK,97.6%,0.0%,0.0%,0.0%
507636,Šúrovce,2,SK,95.0%,0.3%,0.1%,0.0%
507661,Trakovice,2,SK,97.7%,0.1%,0.1%,0.0%
507679,Trebatice,2,SK,95.7%,0.1%,0.0%,0.0%
507687,Trstín,2,SK,96.6%,0.4%,0.0%,0.1%
507709,Veľké Kostoľany,2,SK,92.7%,0.2%,0.0%,0.0%
507725,Veselé,2,SK,94.4%,0.2%,0.1%,0.1%
507741,Voderady,2,SK,97.8%,0.1%,0.1%,0.0%
507750,Vrbové,2,SK,95.9%,0.1%,0.0%,0.0%
507768,Zavar,2,SK,81.4%,0.2%,0.0%,0.2%
507776,Zeleneč,2,SK,98.4%,0.0%,0.0%,0.0%
507792,Žlkovce,2,SK,94.4%,0.0%,0.3%,0.0%
507806,Báhoň,1,SK,96.3%,0.5%,0.1%,0.1%
507814,Bernolákovo,1,SK,89.1%,0.9%,0.0%,0.3%
507822,Blatné,1,SK,92.0%,0.5%,0.0%,0.0%
507831,Borinka,1,SK,90.0%,0.7%,0.0%,0.1%
507849,Budmerice,1,SK,95.8%,0.3%,0.0%,0.0%
507857,Častá,1,SK,97.8%,0.1%,0.0%,0.0%
507865,Čataj,1,SK,92.4%,0.8%,0.0%,0.2%
507873,Doľany (PK),1,SK,98.1%,0.1%,0.0%,0.0%
507881,Dubová (PK),1,SK,95.1%,0.3%,0.0%,0.0%
507890,Gajary,1,SK,86.0%,0.2%,0.6%,0.0%
507903,Hamuliakovo - Gútor,1,SK,74.4%,20.7%,0.1%,0.1%
507911,Chorvátsky Grob,1,SK,90.7%,0.8%,0.0%,0.2%
507938,Ivanka pri Dunaji,1,SK,89.1%,1.0%,0.0%,0.1%
507946,Jablonec,1,SK,95.0%,0.2%,0.0%,0.0%
507954,Jablonové (MA),1,SK,94.9%,0.2%,1.1%,0.2%
507962,Jakubov,1,SK,93.6%,0.3%,0.1%,0.0%
507989,Svätý Jur,1,SK,93.8%,0.7%,0.0%,0.1%
507997,Kalinkovo,1,SK,78.3%,17.9%,0.0%,0.0%
508012,Kostolište,1,SK,94.9%,0.3%,0.1%,0.0%
508021,Kuchyňa,1,SK,92.6%,0.5%,1.0%,0.0%
508039,Láb,1,SK,95.6%,0.3%,0.0%,0.1%
508047,Limbach,1,SK,92.5%,0.7%,0.0%,0.0%
508055,Lozorno,1,SK,92.7%,0.3%,0.3%,0.0%
508063,Malacky,1,SK,89.4%,0.5%,0.1%,0.0%
508071,Malinovo,1,SK,76.3%,14.9%,0.0%,0.2%
508080,Marianka,1,SK,90.5%,0.4%,0.0%,0.2%
508098,Miloslavov,1,SK,90.8%,2.5%,0.1%,0.2%
508101,Modra,1,SK,91.6%,0.7%,0.1%,0.1%
508110,Most pri Bratislave,1,SK,87.2%,2.1%,0.1%,0.3%
508136,Nová Dedinka,1,SK,83.7%,10.9%,0.0%,0.1%
508161,Pernek,1,SK,91.8%,0.7%,0.0%,0.0%
508179,Pezinok,1,SK,90.7%,0.4%,0.0%,0.1%
508187,Píla (PK),1,SK,98.0%,0.0%,0.0%,0.3%
508195,Plavecký Štvrtok,1,SK,90.2%,0.4%,0.4%,0.0%
508209,Rovinka,1,SK,89.3%,2.7%,0.0%,0.1%
508217,Senec,1,SK,78.0%,11.4%,0.1%,0.1%
508225,Slovenský Grob,1,SK,90.5%,0.5%,0.0%,0.1%
508233,Stupava,1,SK,90.2%,0.6%,0.0%,0.2%
508241,Suchohrad,1,SK,93.6%,0.6%,0.0%,0.0%
508250,Šenkvice,1,SK,95.0%,0.5%,0.0%,0.1%
508268,Štefanová,1,SK,92.5%,1.3%,0.5%,0.5%
508276,Tomášov - Fél,1,SK,60.3%,33.9%,0.0%,0.0%
508284,Tureň - Zonctorony,1,SK,49.9%,47.0%,0.0%,0.2%
508292,Veľký Biel,1,SK,73.8%,18.0%,0.0%,0.1%
508306,Viničné,1,SK,93.3%,0.2%,0.0%,0.1%
508314,Vinosady,1,SK,93.0%,0.4%,0.0%,0.0%
508322,Vištuk,1,SK,95.4%,0.4%,0.0%,0.2%
508331,Vlky - Vők,1,HU,37.1%,60.5%,0.0%,0.0%
508349,Vysoká pri Morave,1,SK,89.9%,0.2%,0.2%,0.0%
508365,Záhorská Ves,1,SK,91.6%,0.2%,1.2%,0.2%
508381,Zohor,1,SK,91.7%,0.2%,0.3%,0.0%
508438,Banská Bystrica,6,SK,92.1%,0.4%,0.2%,0.0%
508446,Bacúch,6,SK,97.5%,0.2%,0.0%,0.0%
508454,Badín,6,SK,96.4%,0.2%,0.1%,0.0%
508462,Beňuš,6,SK,97.0%,0.0%,0.1%,0.1%
508471,Baláže,6,SK,97.7%,0.5%,0.0%,0.0%
508489,Braväcovo,6,SK,96.6%,0.1%,0.1%,0.0%
508497,Brezno,6,SK,92.5%,0.2%,0.4%,0.0%
508519,Čerín,6,SK,94.9%,0.0%,1.6%,0.0%
508527,Čierny Balog,6,SK,96.4%,0.0%,0.9%,0.0%
508535,Dolná Lehota,6,SK,96.8%,0.0%,0.0%,0.0%
508543,Dolná Mičiná,6,SK,95.7%,0.2%,0.0%,0.0%
508551,Dolný Harmanec,6,SK,97.3%,0.0%,0.8%,0.0%
508560,Donovaly,6,SK,90.4%,0.4%,0.0%,0.0%
508578,Drábsko,6,SK,99.4%,0.0%,0.0%,0.0%
508586,Dúbravica,6,SK,90.4%,0.0%,0.5%,0.0%
508594,Harmanec,6,SK,87.6%,0.4%,0.4%,0.0%
508608,Heľpa,6,SK,94.8%,0.0%,0.8%,0.0%
508616,Hiadeľ,6,SK,98.4%,0.0%,0.0%,0.0%
508624,Horná Lehota (BR),6,SK,94.5%,0.5%,0.3%,0.0%
508632,Horná Mičiná,6,SK,96.3%,0.0%,0.2%,0.2%
508641,Horné Pršany,6,SK,97.5%,0.0%,0.0%,0.0%
508659,Hrochoť,6,SK,90.4%,0.3%,0.5%,0.0%
508667,Hronec,6,SK,93.9%,0.1%,1.2%,0.1%
508675,Brusno,6,SK,95.8%,0.1%,0.0%,0.0%
508691,Jarabá,6,SK,94.9%,0.0%,0.0%,0.0%
508705,Jasenie,6,SK,98.2%,0.2%,0.1%,0.0%
508713,Kordíky,6,SK,98.1%,0.4%,0.0%,0.0%
508721,Králiky,6,SK,97.1%,0.0%,0.0%,0.0%
508730,Lom nad Rimavicou,6,SK,99.6%,0.0%,0.0%,0.0%
508748,Ľubietová,6,SK,97.6%,0.0%,0.0%,0.0%
508756,Lučatín,6,SK,98.4%,0.1%,0.0%,0.0%
508764,Medzibrod,6,SK,97.4%,0.1%,0.0%,0.0%
508772,Michalová,6,SK,95.5%,0.1%,0.0%,0.0%
508781,Môlča,6,SK,91.7%,0.0%,3.9%,0.0%
508799,Moštenica,6,SK,94.8%,1.3%,0.0%,0.0%
508802,Motyčky,6,SK,97.1%,0.0%,0.0%,0.0%
508811,Mýto pod Ďumbierom,6,SK,93.9%,1.0%,0.0%,0.8%
508829,Nemecká,6,SK,94.2%,0.1%,0.6%,0.0%
508837,Oravce,6,SK,97.2%,0.0%,0.0%,0.0%
508845,Osrblie,6,SK,97.5%,0.6%,0.0%,0.6%
508853,Podbrezová,6,SK,90.6%,0.3%,0.5%,0.0%
508861,Podkonice,6,SK,97.4%,0.0%,0.0%,0.1%
508870,Pohorelá,6,SK,96.7%,0.0%,0.1%,0.0%
508888,Pohronská Polhora,6,SK,92.2%,0.0%,0.7%,0.1%
508896,Pohronský Bukovec,6,SK,96.6%,0.0%,0.0%,0.0%
508900,Polomka,6,SK,92.7%,0.2%,2.6%,0.1%
508918,Poniky,6,SK,98.0%,0.1%,0.1%,0.1%
508926,Povrazník,6,SK,90.9%,0.0%,0.0%,0.0%
508934,Predajná,6,SK,93.2%,0.1%,0.1%,0.0%
508942,Priechod,6,SK,99.3%,0.0%,0.0%,0.0%
508951,Ráztoka,6,SK,97.5%,0.0%,0.0%,0.0%
508969,Riečka (BB),6,SK,98.7%,0.0%,0.0%,0.0%
508977,Sebedín-Bečov,6,SK,97.5%,0.0%,0.0%,0.0%
508985,Selce (BB),6,SK,98.1%,0.2%,0.0%,0.0%
508993,Sihla,6,SK,100.0%,0.0%,0.0%,0.0%
509001,Slovenská Ľupča,6,SK,95.1%,0.2%,0.6%,0.0%
509019,Staré Hory,6,SK,94.6%,0.4%,0.2%,0.0%
509027,Strelníky,6,SK,98.8%,0.3%,0.0%,0.0%
509035,Špania Dolina,6,SK,91.0%,0.4%,0.0%,0.0%
509043,Šumiac,6,SK,91.2%,0.2%,1.8%,0.4%
509051,Telgárt,6,SK,79.7%,0.0%,10.6%,0.1%
509060,Tajov,6,SK,96.3%,0.1%,0.0%,0.0%
509086,Valaská,6,SK,88.3%,0.1%,1.2%,0.0%
509094,Vaľkovňa,6,SK,93.5%,0.0%,0.7%,0.0%
509124,Závadka nad Hronom,6,SK,90.1%,0.2%,1.3%,0.0%
509132,Čadca,5,SK,91.6%,0.1%,0.0%,0.0%
509159,Čierne,5,SK,97.6%,0.0%,0.0%,0.0%
509167,Dlhá nad Kysucou,5,SK,93.1%,0.2%,0.0%,0.0%
509175,Dolný Vadičov,5,SK,98.1%,0.0%,0.0%,0.2%
509183,Dunajov,5,SK,96.7%,0.1%,0.0%,0.1%
509205,Horný Vadičov,5,SK,96.8%,0.1%,0.1%,0.0%
509213,Klokočov (CA),5,SK,95.0%,0.0%,0.0%,0.0%
